Sample	Gene	Identity(%)	Coverage	Subject	AlignLen
GCA_000022225.1_GCA_000022225.1_ASM2222v1_genomic_hits	espN	100.0	1.0	CP001368.1	181
GCA_000022225.1_GCA_000022225.1_ASM2222v1_genomic_hits	espV	100.0	1.0	CP001368.1	178
GCA_000022225.1_GCA_000022225.1_ASM2222v1_genomic_hits	stx2	100.0	1.0	CP001368.1	83
GCA_000022225.1_GCA_000022225.1_ASM2222v1_genomic_hits	ureD	100.0	1.0	CP001368.1	188
GCA_000025165.1_GCA_000025165.1_ASM2516v1_genomic_hits	eae	100.0	1.0	CP001846.1	91
GCA_000026545.1_GCA_000026545.1_ASM2654v1_genomic_hits	eae	100.0	1.0	FM180568.1	91
GCA_000027125.1_GCA_000027125.1_ASM2712v1_genomic_hits	aggR	99.06	1.0	FN554767.1	107
GCA_000091005.1_GCA_000091005.1_ASM9100v1_genomic_hits	Z2098	100.0	1.0	AP010953.1	200
GCA_000091005.1_GCA_000091005.1_ASM9100v1_genomic_hits	eae	100.0	1.0	AP010953.1	91
GCA_000091005.1_GCA_000091005.1_ASM9100v1_genomic_hits	espK	99.43	1.0	AP010953.1	176
GCA_000091005.1_GCA_000091005.1_ASM9100v1_genomic_hits	espN	100.0	1.0	AP010953.1	181
GCA_000091005.1_GCA_000091005.1_ASM9100v1_genomic_hits	espV	98.88	1.0	AP010953.1	178
GCA_000091005.1_GCA_000091005.1_ASM9100v1_genomic_hits	stx1	100.0	1.0	AP010953.1	112
GCA_000091005.1_GCA_000091005.1_ASM9100v1_genomic_hits	ureD	100.0	1.0	AP010953.1	188
GCA_000167875.2_GCA_000167875.2_ASM16787v2_genomic_hits	eae	100.0	1.0	CP035751.1	91
GCA_000167875.2_GCA_000167875.2_ASM16787v2_genomic_hits	espK	100.0	1.0	CP035751.1	176
GCA_000167875.2_GCA_000167875.2_ASM16787v2_genomic_hits	espV	98.84	0.972	CP035751.1	173
GCA_000167875.2_GCA_000167875.2_ASM16787v2_genomic_hits	ureD	100.0	1.0	CP035751.1	188
GCA_000212715.2_GCA_000212715.2_ASM21271v2_genomic_hits	ureD	100.0	1.0	CP002729.1	188
GCA_000220005.2_GCA_000220005.2_ASM22000v2_genomic_hits	stx2	100.0	1.0	AGTD01000001.1	83
GCA_000245515.1_GCA_000245515.1_ASM24551v1_genomic_hits	eae	100.0	1.0	CP003109.1	91
GCA_000262125.1_GCA_000262125.1_ASM26212v1_genomic_hits	Z2098	100.0	1.0	CP001925.1	200
GCA_000262125.1_GCA_000262125.1_ASM26212v1_genomic_hits	eae	100.0	1.0	CP001925.1	91
GCA_000262125.1_GCA_000262125.1_ASM26212v1_genomic_hits	espK	100.0	1.0	CP001925.1	176
GCA_000262125.1_GCA_000262125.1_ASM26212v1_genomic_hits	espN	100.0	1.0	CP001925.1	181
GCA_000262125.1_GCA_000262125.1_ASM26212v1_genomic_hits	espV	100.0	1.0	CP001925.1	178
GCA_000262125.1_GCA_000262125.1_ASM26212v1_genomic_hits	stx1	100.0	1.0	CP001925.1	112
GCA_000262125.1_GCA_000262125.1_ASM26212v1_genomic_hits	stx2	100.0	1.0	CP001925.1	83
GCA_000262125.1_GCA_000262125.1_ASM26212v1_genomic_hits	ureD	100.0	1.0	CP001925.1	188
GCA_000299255.1_GCA_000299255.1_ASM29925v1_genomic_hits	aggR	100.0	1.0	CP003299.1	107
GCA_000299255.1_GCA_000299255.1_ASM29925v1_genomic_hits	stx2	100.0	1.0	CP003297.1	83
GCA_000299455.1_GCA_000299455.1_ASM29945v1_genomic_hits	aggR	100.0	1.0	CP003291.1	107
GCA_000299455.1_GCA_000299455.1_ASM29945v1_genomic_hits	stx2	100.0	1.0	CP003289.1	83
GCA_000299475.1_GCA_000299475.1_ASM29947v1_genomic_hits	aggR	100.0	1.0	CP003302.1	107
GCA_000299475.1_GCA_000299475.1_ASM29947v1_genomic_hits	stx2	100.0	1.0	CP003301.1	83
GCA_000464955.2_GCA_000464955.2_ASM46495v2_genomic_hits	stx2	100.0	1.0	CP023541.1	83
GCA_000464955.2_GCA_000464955.2_ASM46495v2_genomic_hits	subA	95.95	1.0	CP023542.1	148
GCA_000520035.1_GCA_000520035.1_ASM52003v1_genomic_hits	Z2098	100.0	1.0	CP006027.1	200
GCA_000520035.1_GCA_000520035.1_ASM52003v1_genomic_hits	eae	98.9	1.0	CP006027.1	91
GCA_000520035.1_GCA_000520035.1_ASM52003v1_genomic_hits	espK	100.0	1.0	CP006027.1	176
GCA_000520035.1_GCA_000520035.1_ASM52003v1_genomic_hits	espN	100.0	1.0	CP006027.1	181
GCA_000520035.1_GCA_000520035.1_ASM52003v1_genomic_hits	espV	98.84	0.972	CP006027.1	173
GCA_000520035.1_GCA_000520035.1_ASM52003v1_genomic_hits	stx2	100.0	1.0	CP006027.1	83
GCA_000520035.1_GCA_000520035.1_ASM52003v1_genomic_hits	ureD	100.0	1.0	CP006027.1	188
GCA_000520055.1_GCA_000520055.1_ASM52005v1_genomic_hits	Z2098	100.0	1.0	CP006262.1	200
GCA_000520055.1_GCA_000520055.1_ASM52005v1_genomic_hits	eae	98.9	1.0	CP006262.1	91
GCA_000520055.1_GCA_000520055.1_ASM52005v1_genomic_hits	espK	100.0	1.0	CP006262.1	176
GCA_000520055.1_GCA_000520055.1_ASM52005v1_genomic_hits	espN	100.0	1.0	CP006262.1	181
GCA_000520055.1_GCA_000520055.1_ASM52005v1_genomic_hits	espV	98.84	0.972	CP006262.1	173
GCA_000520055.1_GCA_000520055.1_ASM52005v1_genomic_hits	stx2	100.0	1.0	CP006262.1	83
GCA_000520055.1_GCA_000520055.1_ASM52005v1_genomic_hits	ureD	100.0	1.0	CP006262.1	188
GCA_000618005.3_GCA_000618005.3_ASM61800v3_genomic_hits	eae	100.0	1.0	CP051001.1	91
GCA_000618005.3_GCA_000618005.3_ASM61800v3_genomic_hits	espV	98.27	0.972	CP051001.1	173
GCA_000618905.3_GCA_000618905.3_ASM61890v3_genomic_hits	eae	100.0	1.0	CP050998.1	91
GCA_000618905.3_GCA_000618905.3_ASM61890v3_genomic_hits	espK	100.0	1.0	CP050998.1	176
GCA_000618905.3_GCA_000618905.3_ASM61890v3_genomic_hits	espV	98.84	0.972	CP050998.1	173
GCA_000618905.3_GCA_000618905.3_ASM61890v3_genomic_hits	ureD	100.0	1.0	CP050998.1	188
GCA_000662395.1_GCA_000662395.1_ASM66239v1_genomic_hits	Z2098	100.0	1.0	CP007133.1	200
GCA_000662395.1_GCA_000662395.1_ASM66239v1_genomic_hits	eae	98.9	1.0	CP007133.1	91
GCA_000662395.1_GCA_000662395.1_ASM66239v1_genomic_hits	espK	100.0	1.0	CP007133.1	176
GCA_000662395.1_GCA_000662395.1_ASM66239v1_genomic_hits	espN	100.0	1.0	CP007133.1	181
GCA_000662395.1_GCA_000662395.1_ASM66239v1_genomic_hits	espV	98.84	0.972	CP007133.1	173
GCA_000662395.1_GCA_000662395.1_ASM66239v1_genomic_hits	stx2	100.0	1.0	CP007133.1	83
GCA_000662395.1_GCA_000662395.1_ASM66239v1_genomic_hits	ureD	100.0	1.0	CP007133.1	188
GCA_000671295.1_GCA_000671295.1_ASM67129v1_genomic_hits	Z2098	100.0	1.0	CP007136.1	200
GCA_000671295.1_GCA_000671295.1_ASM67129v1_genomic_hits	eae	98.9	1.0	CP007136.1	91
GCA_000671295.1_GCA_000671295.1_ASM67129v1_genomic_hits	espK	100.0	1.0	CP007136.1	176
GCA_000671295.1_GCA_000671295.1_ASM67129v1_genomic_hits	espN	100.0	1.0	CP007136.1	181
GCA_000671295.1_GCA_000671295.1_ASM67129v1_genomic_hits	espV	98.84	0.972	CP007136.1	173
GCA_000671295.1_GCA_000671295.1_ASM67129v1_genomic_hits	stx2	100.0	1.0	CP007136.1	83
GCA_000671295.1_GCA_000671295.1_ASM67129v1_genomic_hits	ureD	100.0	1.0	CP007136.1	188
GCA_000730345.1_GCA_000730345.1_ASM73034v1_genomic_hits	Z2098	100.0	1.0	CP008805.1	200
GCA_000730345.1_GCA_000730345.1_ASM73034v1_genomic_hits	eae	100.0	1.0	CP008805.1	91
GCA_000730345.1_GCA_000730345.1_ASM73034v1_genomic_hits	espK	100.0	1.0	CP008805.1	176
GCA_000730345.1_GCA_000730345.1_ASM73034v1_genomic_hits	espN	100.0	1.0	CP008805.1	181
GCA_000730345.1_GCA_000730345.1_ASM73034v1_genomic_hits	espV	100.0	1.0	CP008805.1	178
GCA_000730345.1_GCA_000730345.1_ASM73034v1_genomic_hits	stx2	100.0	1.0	CP008805.1	83
GCA_000730345.1_GCA_000730345.1_ASM73034v1_genomic_hits	ureD	100.0	1.0	CP008805.1	188
GCA_000732965.1_GCA_000732965.1_ASM73296v1_genomic_hits	Z2098	100.0	1.0	CP008957.1	200
GCA_000732965.1_GCA_000732965.1_ASM73296v1_genomic_hits	eae	100.0	1.0	CP008957.1	91
GCA_000732965.1_GCA_000732965.1_ASM73296v1_genomic_hits	espK	100.0	1.0	CP008957.1	176
GCA_000732965.1_GCA_000732965.1_ASM73296v1_genomic_hits	espN	100.0	1.0	CP008957.1	181
GCA_000732965.1_GCA_000732965.1_ASM73296v1_genomic_hits	espV	100.0	1.0	CP008957.1	178
GCA_000732965.1_GCA_000732965.1_ASM73296v1_genomic_hits	stx1	100.0	1.0	CP008957.1	112
GCA_000732965.1_GCA_000732965.1_ASM73296v1_genomic_hits	stx2	100.0	1.0	CP008957.1	83
GCA_000732965.1_GCA_000732965.1_ASM73296v1_genomic_hits	ureD	100.0	1.0	CP008957.1	188
GCA_000801165.1_GCA_000801165.1_ASM80116v1_genomic_hits	stx2	100.0	1.0	CP009104.1	83
GCA_000801165.1_GCA_000801165.1_ASM80116v1_genomic_hits	subA	95.95	1.0	CP009105.1	148
GCA_000801185.2_GCA_000801185.2_ASM80118v2_genomic_hits	stx2	100.0	1.0	CP009106.2	83
GCA_000801185.2_GCA_000801185.2_ASM80118v2_genomic_hits	subA	95.95	1.0	CP009107.1	148
GCA_000803705.1_GCA_000803705.1_ASM80370v1_genomic_hits	Z2098	100.0	1.0	CP010304.1	200
GCA_000803705.1_GCA_000803705.1_ASM80370v1_genomic_hits	eae	100.0	1.0	CP010304.1	91
GCA_000803705.1_GCA_000803705.1_ASM80370v1_genomic_hits	espK	100.0	1.0	CP010304.1	176
GCA_000803705.1_GCA_000803705.1_ASM80370v1_genomic_hits	espN	99.45	1.0	CP010304.1	181
GCA_000803705.1_GCA_000803705.1_ASM80370v1_genomic_hits	espV	100.0	1.0	CP010304.1	178
GCA_000803705.1_GCA_000803705.1_ASM80370v1_genomic_hits	stx2	100.0	1.0	CP010304.1	83
GCA_000803705.1_GCA_000803705.1_ASM80370v1_genomic_hits	ureD	100.0	1.0	CP010304.1	188
GCA_000967155.1_GCA_000967155.1_HUSEC2011CHR1_genomic_hits	aggR	100.0	1.0	HE610901.2	107
GCA_000967155.1_GCA_000967155.1_HUSEC2011CHR1_genomic_hits	stx2	100.0	1.0	HF572917.2	83
GCA_000978815.2_GCA_000978815.2_ASM97881v2_genomic_hits	eae	100.0	1.0	CP076232.1	91
GCA_000978815.2_GCA_000978815.2_ASM97881v2_genomic_hits	espK	100.0	1.0	CP076232.1	176
GCA_000978815.2_GCA_000978815.2_ASM97881v2_genomic_hits	espN	100.0	1.0	CP076232.1	181
GCA_000978815.2_GCA_000978815.2_ASM97881v2_genomic_hits	espV	100.0	1.0	CP076232.1	178
GCA_000978815.2_GCA_000978815.2_ASM97881v2_genomic_hits	stx2	100.0	1.0	CP076232.1	83
GCA_000978815.2_GCA_000978815.2_ASM97881v2_genomic_hits	ureD	99.47	1.0	CP076232.1	188
GCA_000978845.2_GCA_000978845.2_ASM97884v2_genomic_hits	eae	100.0	1.0	CP076230.1	91
GCA_000978845.2_GCA_000978845.2_ASM97884v2_genomic_hits	espK	100.0	1.0	CP076230.1	176
GCA_000978845.2_GCA_000978845.2_ASM97884v2_genomic_hits	espN	100.0	1.0	CP076230.1	181
GCA_000978845.2_GCA_000978845.2_ASM97884v2_genomic_hits	espV	100.0	1.0	CP076230.1	178
GCA_000978845.2_GCA_000978845.2_ASM97884v2_genomic_hits	stx2	100.0	1.0	CP076230.1	83
GCA_000978845.2_GCA_000978845.2_ASM97884v2_genomic_hits	ureD	100.0	1.0	CP076230.1	188
GCA_000986765.1_GCA_000986765.1_ASM98676v1_genomic_hits	aggR	100.0	1.0	CP011332.1	107
GCA_000986765.1_GCA_000986765.1_ASM98676v1_genomic_hits	stx2	100.0	1.0	CP011331.1	83
GCA_001307215.1_GCA_001307215.1_ASM130721v1_genomic_hits	Z2098	100.0	1.0	CP012802.1	200
GCA_001307215.1_GCA_001307215.1_ASM130721v1_genomic_hits	eae	100.0	1.0	CP012802.1	91
GCA_001307215.1_GCA_001307215.1_ASM130721v1_genomic_hits	espV	100.0	1.0	CP012802.1	178
GCA_001307215.1_GCA_001307215.1_ASM130721v1_genomic_hits	stx1	100.0	1.0	CP012802.1	112
GCA_001307215.1_GCA_001307215.1_ASM130721v1_genomic_hits	stx2	100.0	1.0	CP012802.1	83
GCA_001307215.1_GCA_001307215.1_ASM130721v1_genomic_hits	ureD	100.0	1.0	CP012802.1	188
GCA_001420935.1_GCA_001420935.1_ASM142093v1_genomic_hits	eae	100.0	1.0	CP013029.1	91
GCA_001420935.1_GCA_001420935.1_ASM142093v1_genomic_hits	espK	98.86	1.0	CP013029.1	176
GCA_001420935.1_GCA_001420935.1_ASM142093v1_genomic_hits	espN	100.0	1.0	CP013029.1	181
GCA_001420935.1_GCA_001420935.1_ASM142093v1_genomic_hits	espV	99.44	1.0	CP013029.1	178
GCA_001420935.1_GCA_001420935.1_ASM142093v1_genomic_hits	stx1	100.0	1.0	CP013029.1	112
GCA_001420935.1_GCA_001420935.1_ASM142093v1_genomic_hits	stx2	100.0	1.0	CP013029.1	83
GCA_001420955.1_GCA_001420955.1_ASM142095v1_genomic_hits	stx1	100.0	1.0	CP013025.1	112
GCA_001558995.2_GCA_001558995.2_ASM155899v2_genomic_hits	Z2098	100.0	1.0	CP014314.1	200
GCA_001558995.2_GCA_001558995.2_ASM155899v2_genomic_hits	eae	100.0	1.0	CP014314.1	91
GCA_001558995.2_GCA_001558995.2_ASM155899v2_genomic_hits	espK	100.0	1.0	CP014314.1	176
GCA_001558995.2_GCA_001558995.2_ASM155899v2_genomic_hits	espN	100.0	1.0	CP014314.1	181
GCA_001558995.2_GCA_001558995.2_ASM155899v2_genomic_hits	espV	100.0	1.0	CP014314.1	178
GCA_001558995.2_GCA_001558995.2_ASM155899v2_genomic_hits	stx2	100.0	1.0	CP014314.1	83
GCA_001558995.2_GCA_001558995.2_ASM155899v2_genomic_hits	ureD	100.0	1.0	CP014314.1	188
GCA_001612475.1_GCA_001612475.1_ASM161247v1_genomic_hits	Z2098	100.0	1.0	CP015020.1	200
GCA_001612475.1_GCA_001612475.1_ASM161247v1_genomic_hits	eae	100.0	1.0	CP015020.1	91
GCA_001612475.1_GCA_001612475.1_ASM161247v1_genomic_hits	espK	100.0	1.0	CP015020.1	176
GCA_001612475.1_GCA_001612475.1_ASM161247v1_genomic_hits	espN	100.0	1.0	CP015020.1	181
GCA_001612475.1_GCA_001612475.1_ASM161247v1_genomic_hits	espV	100.0	1.0	CP015020.1	178
GCA_001612475.1_GCA_001612475.1_ASM161247v1_genomic_hits	stx2	100.0	1.0	CP015020.1	83
GCA_001612475.1_GCA_001612475.1_ASM161247v1_genomic_hits	ureD	100.0	1.0	CP015020.1	188
GCA_001612495.1_GCA_001612495.1_ASM161249v1_genomic_hits	Z2098	100.0	1.0	CP015023.1	200
GCA_001612495.1_GCA_001612495.1_ASM161249v1_genomic_hits	eae	100.0	1.0	CP015023.1	91
GCA_001612495.1_GCA_001612495.1_ASM161249v1_genomic_hits	espK	100.0	1.0	CP015023.1	176
GCA_001612495.1_GCA_001612495.1_ASM161249v1_genomic_hits	espN	100.0	1.0	CP015023.1	181
GCA_001612495.1_GCA_001612495.1_ASM161249v1_genomic_hits	espV	100.0	1.0	CP015023.1	178
GCA_001612495.1_GCA_001612495.1_ASM161249v1_genomic_hits	stx1	100.0	1.0	CP015023.1	112
GCA_001612495.1_GCA_001612495.1_ASM161249v1_genomic_hits	stx2	100.0	1.0	CP015023.1	83
GCA_001612495.1_GCA_001612495.1_ASM161249v1_genomic_hits	ureD	100.0	1.0	CP015023.1	188
GCA_001644725.1_GCA_001644725.1_ASM164472v1_genomic_hits	stx2	100.0	1.0	CP015240.1	83
GCA_001644745.1_GCA_001644745.1_ASM164474v1_genomic_hits	eae	100.0	1.0	CP015241.1	91
GCA_001644745.1_GCA_001644745.1_ASM164474v1_genomic_hits	stx1	100.0	1.0	CP015241.1	112
GCA_001645235.2_GCA_001645235.2_ASM164523v2_genomic_hits	eae	100.0	1.0	CP024479.1	91
GCA_001645235.2_GCA_001645235.2_ASM164523v2_genomic_hits	espN	100.0	1.0	CP024479.1	181
GCA_001645235.2_GCA_001645235.2_ASM164523v2_genomic_hits	espV	98.31	1.0	CP024479.1	178
GCA_001645235.2_GCA_001645235.2_ASM164523v2_genomic_hits	stx1	100.0	1.0	CP024479.1	112
GCA_001650275.1_GCA_001650275.1_ASM165027v1_genomic_hits	Z2098	100.0	1.0	CP015832.1	200
GCA_001650275.1_GCA_001650275.1_ASM165027v1_genomic_hits	eae	100.0	1.0	CP015832.1	91
GCA_001650275.1_GCA_001650275.1_ASM165027v1_genomic_hits	espK	100.0	1.0	CP015832.1	176
GCA_001650275.1_GCA_001650275.1_ASM165027v1_genomic_hits	espN	100.0	1.0	CP015832.1	181
GCA_001650275.1_GCA_001650275.1_ASM165027v1_genomic_hits	espV	100.0	1.0	CP015832.1	178
GCA_001650275.1_GCA_001650275.1_ASM165027v1_genomic_hits	stx1	100.0	1.0	CP015832.1	112
GCA_001650275.1_GCA_001650275.1_ASM165027v1_genomic_hits	stx2	100.0	1.0	CP015832.1	83
GCA_001650275.1_GCA_001650275.1_ASM165027v1_genomic_hits	ureD	100.0	1.0	CP015832.1	188
GCA_001650295.1_GCA_001650295.1_ASM165029v1_genomic_hits	Z2098	100.0	1.0	CP015831.1	200
GCA_001650295.1_GCA_001650295.1_ASM165029v1_genomic_hits	eae	100.0	1.0	CP015831.1	91
GCA_001650295.1_GCA_001650295.1_ASM165029v1_genomic_hits	espK	100.0	1.0	CP015831.1	176
GCA_001650295.1_GCA_001650295.1_ASM165029v1_genomic_hits	espN	100.0	1.0	CP015831.1	181
GCA_001650295.1_GCA_001650295.1_ASM165029v1_genomic_hits	espV	100.0	1.0	CP015831.1	178
GCA_001650295.1_GCA_001650295.1_ASM165029v1_genomic_hits	stx1	100.0	1.0	CP015831.1	112
GCA_001650295.1_GCA_001650295.1_ASM165029v1_genomic_hits	stx2	100.0	1.0	CP015831.1	83
GCA_001650295.1_GCA_001650295.1_ASM165029v1_genomic_hits	ureD	100.0	1.0	CP015831.1	188
GCA_001651925.2_GCA_001651925.2_ASM165192v2_genomic_hits	Z2098	100.0	1.0	CP015846.1	200
GCA_001651925.2_GCA_001651925.2_ASM165192v2_genomic_hits	eae	100.0	1.0	CP015846.1	91
GCA_001651925.2_GCA_001651925.2_ASM165192v2_genomic_hits	espK	100.0	1.0	CP015846.1	176
GCA_001651925.2_GCA_001651925.2_ASM165192v2_genomic_hits	espN	100.0	1.0	CP015846.1	181
GCA_001651925.2_GCA_001651925.2_ASM165192v2_genomic_hits	espV	100.0	1.0	CP015846.1	178
GCA_001651925.2_GCA_001651925.2_ASM165192v2_genomic_hits	stx1	100.0	1.0	CP015846.1	112
GCA_001651925.2_GCA_001651925.2_ASM165192v2_genomic_hits	stx2	100.0	1.0	CP015846.1	83
GCA_001651925.2_GCA_001651925.2_ASM165192v2_genomic_hits	ureD	100.0	1.0	CP015846.1	188
GCA_001651945.2_GCA_001651945.2_ASM165194v2_genomic_hits	Z2098	100.0	1.0	CP015842.1	200
GCA_001651945.2_GCA_001651945.2_ASM165194v2_genomic_hits	eae	100.0	1.0	CP015842.1	91
GCA_001651945.2_GCA_001651945.2_ASM165194v2_genomic_hits	espK	100.0	1.0	CP015842.1	176
GCA_001651945.2_GCA_001651945.2_ASM165194v2_genomic_hits	espN	100.0	1.0	CP015842.1	181
GCA_001651945.2_GCA_001651945.2_ASM165194v2_genomic_hits	espV	100.0	1.0	CP015842.1	178
GCA_001651945.2_GCA_001651945.2_ASM165194v2_genomic_hits	stx1	100.0	1.0	CP015842.1	112
GCA_001651945.2_GCA_001651945.2_ASM165194v2_genomic_hits	stx2	100.0	1.0	CP015842.1	83
GCA_001651945.2_GCA_001651945.2_ASM165194v2_genomic_hits	ureD	100.0	1.0	CP015842.1	188
GCA_001651965.2_GCA_001651965.2_ASM165196v2_genomic_hits	Z2098	100.0	1.0	CP015843.2	200
GCA_001651965.2_GCA_001651965.2_ASM165196v2_genomic_hits	eae	100.0	1.0	CP015843.2	91
GCA_001651965.2_GCA_001651965.2_ASM165196v2_genomic_hits	espK	100.0	1.0	CP015843.2	176
GCA_001651965.2_GCA_001651965.2_ASM165196v2_genomic_hits	espN	100.0	1.0	CP015843.2	181
GCA_001651965.2_GCA_001651965.2_ASM165196v2_genomic_hits	espV	100.0	1.0	CP015843.2	178
GCA_001651965.2_GCA_001651965.2_ASM165196v2_genomic_hits	stx1	100.0	1.0	CP015843.2	112
GCA_001651965.2_GCA_001651965.2_ASM165196v2_genomic_hits	stx2	100.0	1.0	CP015843.2	83
GCA_001651965.2_GCA_001651965.2_ASM165196v2_genomic_hits	ureD	100.0	1.0	CP015843.2	188
GCA_001677475.2_GCA_001677475.2_ASM167747v2_genomic_hits	stx2	100.0	1.0	CP015229.1	83
GCA_001677495.1_GCA_001677495.1_ASM167749v1_genomic_hits	stx2	100.0	1.0	CP015228.1	83
GCA_001677495.1_GCA_001677495.1_ASM167749v1_genomic_hits	ureD	100.0	1.0	CP015228.1	188
GCA_001677515.1_GCA_001677515.1_ASM167751v1_genomic_hits	stx1	100.0	1.0	CP013662.1	112
GCA_001677515.1_GCA_001677515.1_ASM167751v1_genomic_hits	ureD	100.0	1.0	CP013662.1	188
GCA_001678965.1_GCA_001678965.1_ASM167896v1_genomic_hits	stx2	100.0	1.0	CP013663.1	83
GCA_001695515.1_GCA_001695515.1_ASM169551v1_genomic_hits	Z2098	100.0	1.0	CP016625.1	200
GCA_001695515.1_GCA_001695515.1_ASM169551v1_genomic_hits	eae	100.0	1.0	CP016625.1	91
GCA_001695515.1_GCA_001695515.1_ASM169551v1_genomic_hits	espK	100.0	1.0	CP016625.1	176
GCA_001695515.1_GCA_001695515.1_ASM169551v1_genomic_hits	espN	100.0	1.0	CP016625.1	181
GCA_001695515.1_GCA_001695515.1_ASM169551v1_genomic_hits	espV	100.0	1.0	CP016625.1	178
GCA_001695515.1_GCA_001695515.1_ASM169551v1_genomic_hits	stx1	100.0	1.0	CP016625.1	112
GCA_001695515.1_GCA_001695515.1_ASM169551v1_genomic_hits	stx2	100.0	1.0	CP016625.1	83
GCA_001695515.1_GCA_001695515.1_ASM169551v1_genomic_hits	ureD	100.0	1.0	CP016625.1	188
GCA_001721125.1_GCA_001721125.1_ASM172112v1_genomic_hits	Z2098	100.0	1.0	CP012693.1	200
GCA_001721125.1_GCA_001721125.1_ASM172112v1_genomic_hits	eae	100.0	1.0	CP012693.1	91
GCA_001721125.1_GCA_001721125.1_ASM172112v1_genomic_hits	espK	99.43	1.0	CP012693.1	176
GCA_001721125.1_GCA_001721125.1_ASM172112v1_genomic_hits	espN	100.0	1.0	CP012693.1	181
GCA_001721125.1_GCA_001721125.1_ASM172112v1_genomic_hits	espV	98.88	1.0	CP012693.1	178
GCA_001721125.1_GCA_001721125.1_ASM172112v1_genomic_hits	stx1	100.0	1.0	CP012693.1	112
GCA_001721125.1_GCA_001721125.1_ASM172112v1_genomic_hits	ureD	100.0	1.0	CP012693.1	188
